Date,Travel Product,Sessions - This Year,Bookings - This Year,Revenue - This Year,Spend - This Year,Day of Month,Day of Week,Week,Month,Quarter,Year,Sessions - Last Year,Bookings - Last Year,Revenue - Last Year,Spend - Last Year,Category,Birst Category,GA Category
2019-01-24,CheapFlights Comparestrip Panel Flight,397.0,0.0,0.0,258.61,24,3,4,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-27,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,27,4,4,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-26,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,26,4,4,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-25,CheapFlights Comparestrip Panel Flight,308.0,0.0,0.0,206.29,25,4,4,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-28,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,28,5,4,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-27,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,27,5,4,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-26,CheapFlights Comparestrip Panel Flight,275.0,0.0,0.0,169.46,26,5,4,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-22,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,22,6,4,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-21,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,21,6,4,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-20,CheapFlights Comparestrip Panel Flight,341.0,0.0,0.0,227.77,20,6,4,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
